gene_hgnc_symbol	chromosome_name	start_position	end_position
CLEC11A	19	51226586	51228974
CLEC12A	12	10103915	10148293
CLEC12B	12	10163226	10171218
CLEC16A	16	11038345	11276046
CLEC17A	19	14693896	14721969
CLEC18A	16	69984810	69998141
CLEC18B	16	74442529	74455368
CLEC18C	16	70207225	70221264
CLEC1A	12	10222153	10264226
CLEC1B	12	10138241	10166023
CLEC2B	12	10005583	10022735
CLEC2D	12	9817565	9848413
CLEC3B	3	45043040	45077563
CLEC4A	12	8276228	8291203
CLEC4C	12	7882011	7904201
CLEC4D	12	8662071	8674962
CLEC4E	12	8685901	8693559
CLEC4F	2	71035775	71047732
CLEC4G	19	7793843	7798792
CLEC5A	7	141627157	141646807
CLEC6A	12	8608522	8630926
CLEC7A	12	10269376	10282857
CLECL1	12	9868456	9885895
CLGN	4	141309609	141349122
CLHC1	2	55401927	55459699
CLIC1	6	31698358	31707540
CLIC3	9	139889087	139891255
CLIC4	1	25071848	25170815
CLIC5	6	45868045	46048132
CLINT1	5	157212751	157286183
CLIP1	12	122755979	122907179
CLIP2	7	73703805	73820273
CLIP3	19	36505562	36524245
CLIP4	2	29320571	29412509
CLK1	2	201717732	201729422
CLK2	1	155232659	155248282
CLK3	15	74890841	74932057
CLK4	5	178029665	178057616
CLMN	14	95648277	95786243
CLMP	11	122943035	123065989
CLN3	16	28477983	28506896
CLN5	13	77564795	77576652
CLN6	15	68499330	68549549
CLN8	8	1703944	1734738
CLNK	4	10488019	10686489
CLNS1A	11	77225981	77348850
CLOCK	4	56294070	56413305
CLP1	11	57416465	57429340
CLPB	11	72003469	72145692
CLPP	19	6361463	6368919
CLPTM1	19	45457842	45496599
CLPTM1L	5	1317859	1345214
CLPX	15	65440557	65477680
CLSPN	1	36185819	36235568
CLSTN1	1	9789084	9884584
CLSTN3	12	7282294	7311541
CLTA	9	36190853	36304778
CLTB	5	175819456	175843570
CLTC	17	57697219	57773671
CLTCL1	22	19166986	19279239
CLU	8	27454434	27472548
CLUAP1	16	3550924	3589048
CLUH	17	2592680	2615957
CLVS1	8	61969717	62414204
CLYBL	13	100258919	100549387
CMA1	14	24974559	24977471
CMAS	12	22199108	22218608
CMBL	5	10275987	10308138
CMC1	3	28283075	28366633
CMC2	16	81009698	81053875
CMIP	16	81478775	81745367
CMKLR1	12	108681821	108733118
CMPK1	1	47799469	47844511
CMPK2	2	6980701	7006766
CMSS1	3	99536678	99897447
CMTM1	16	66600294	66613040
CMTM3	16	66637777	66647795
CMTM4	16	66648653	66730610
CMTM6	3	32522804	32544900
CMTM7	3	32433163	32524559
CMTM8	3	32280171	32411817
CMTR1	6	37400995	37450603
CMTR2	16	71315292	71323618
CMYA5	5	78985700	79096063
CNBD2	20	34556512	34618622
CNBP	3	128888327	128902765
CNDP2	18	72163051	72188366
CNEP1R1	16	50058321	50070999
CNIH1	14	54893654	54908149
CNIH2	11	66045661	66052772
CNIH3	1	224622362	224928251
CNIH4	1	224544552	224567161
CNKSR1	1	26503894	26516377
CNKSR3	6	154708638	154831793
CNN2	19	1026298	1039068
CNN3	1	95362507	95392834
CNNM1	10	101088856	101154087
CNNM2	10	104678050	104849978
CNNM3	2	97481982	97499648
CNNM4	2	97426639	97477628
CNOT1	16	58553855	58663790
CNOT10	3	32726637	32815367
CNOT11	2	101869264	101886778
CNOT2	12	70636774	70748773
CNOT3	19	54641444	54659419
CNOT4	7	135046547	135194875
CNOT6	5	179921412	180005405
CNOT6L	4	78634541	78740769
CNOT7	8	17086737	17104387
CNOT8	5	154237113	154256353
CNP	17	40118759	40129749
CNPPD1	2	220036619	220042828
CNPY2	12	56703626	56710120
CNPY3	6	42896938	42907025
CNPY4	7	99717236	99723134
CNR1	6	88849583	88876078
CNR2	1	24197016	24285549
CNRIP1	2	68511303	68547183
CNST	1	246729746	246831886
CNTD1	17	40950810	40963605
CNTF	11	58390146	58393198
CNTLN	9	17134980	17503921
CNTN2	1	205012325	205047627
CNTNAP1	17	40834631	40851832
CNTNAP2	7	145813453	148118090
CNTRL	9	123837141	123939888
CNTROB	17	7835419	7853236
COA1	7	43648055	43769316
COA3	17	40947165	40950722
COA4	11	73583712	73588033
COA5	2	99215773	99224978
COA6	1	234509202	234519795
COA7	1	53152508	53164038
COASY	17	40713485	40718295
COBL	7	51083909	51384515
COBLL1	2	165510134	165700189
COCH	14	31343720	31364271
COG1	17	71189129	71204646
COG2	1	230778235	230829728
COG3	13	46039060	46110765
COG4	16	70514471	70557468
COG5	7	106842000	107204959
COG6	13	40229764	40365802
COG7	16	23399814	23464501
COG8	16	69354043	69373570
COIL	17	55015548	55038415
COL10A1	6	116440086	116479910
COL11A2	6	33130458	33160276
COL15A1	9	101705461	101833069
COL17A1	10	105791044	105845760
COL18A1	21	46825052	46933634
COL19A1	6	70576463	70919679
COL1A1	17	48260650	48278993
COL23A1	5	177664619	178017556
COL24A1	1	86194916	86622626
COL27A1	9	116917840	117074791
COL4A2	13	110958159	111165374
COL4A3	2	228029281	228179508
COL4A3BP	5	74664311	74807963
COL4A4	2	227867427	228028829
COL5A1	9	137533620	137736686
COL5A2	2	189896622	190044605
COL5A3	19	10070237	10121147
COL6A1	21	47401651	47424964
COL6A2	21	47518011	47552763
COL6A3	2	238232646	238323018
COL6A6	3	130279178	130396999
COL7A1	3	48601506	48632700
COL8A2	1	36560837	36590821
COL9A2	1	40766159	40783488
COL9A3	20	61447596	61472511
COLEC12	18	319361	500722
COLGALT1	19	17666403	17693971
COLGALT2	1	183898796	184006863
COLQ	3	15491640	15563258
COMMD1	2	62115859	62374382
COMMD10	5	115420688	115748459
COMMD2	3	149456257	149470286
COMMD3	10	22604903	22609235
COMMD4	15	75628232	75634268
COMMD5	8	146066427	146079121
COMMD6	13	76099350	76123575
COMMD7	20	31290493	31331803
COMMD8	4	47452885	47465736
COMMD9	11	36295051	36310999
COMT	22	19929130	19957498
COMTD1	10	76993727	76995788
COPA	1	160259063	160313190
COPB1	11	14464986	14521573
COPB2	3	139074442	139108574
COPE	19	19010323	19030206
COPG1	3	128968449	128996614
COPG2	7	130146089	130353598
COPRS	17	30178883	30186356
COPS2	15	49398268	49447858
COPS3	17	17150141	17184607
COPS4	4	83955600	83996971
COPS5	8	67955314	67996018
COPS6	7	99686577	99689823
COPS7A	12	6832907	6841041
COPS7B	2	232646381	232673963
COPS8	2	237993955	238009109
COPZ1	12	54694986	54745633
COPZ2	17	46103533	46115392
COQ10A	12	56660642	56664750
COQ10B	2	198318147	198340032
COQ2	4	84182689	84206067
COQ3	6	99817276	99842080
COQ4	9	131084815	131096351
COQ5	12	120941077	120972237
COQ6	14	74416629	74430373
COQ7	16	19078921	19091417
COQ9	16	57481337	57495187
CORIN	4	47596015	47840123
CORO1A	16	30194148	30200397
CORO1B	11	67205519	67211292
CORO1C	12	109038885	109125372
CORO2A	9	100883257	100954922
CORO6	17	27941774	27949925
CORO7	16	4404543	4475706
CORT	1	10509776	10511959
COTL1	16	84599200	84651683
COX10	17	13972813	14111994
COX11	17	53029263	53046146
COX14	12	50505762	50514240
COX15	10	101471601	101491857
COX16	14	70791798	70826448
COX17	3	119373360	119396301
COX18	4	73921797	73935472
COX19	7	938415	1015235
COX20	1	244998624	245008359
COX4I1	16	85832239	85840650
COX5A	15	75212132	75230509
COX5B	2	98262503	98264846
COX6A1	12	120875893	120878545
COX6B1	19	36139125	36149763
COX6C	8	100885428	100906290
COX7A2	6	75947391	75960039
COX7A2L	2	42560686	42652228
COX7C	5	85913721	85916779
COX8A	11	63742079	63744015
CP	3	148880197	148939842
CPA3	3	148583043	148614983
CPAMD8	19	17003758	17137625
CPD	17	28705923	28797007
CPEB2	4	15004298	15071777
CPEB3	10	93806449	94050844
CPEB4	5	173315283	173388979
CPED1	7	120628731	120937498
CPLX2	5	175223313	175311023
CPM	12	69235977	69365350
CPNE1	20	34213953	34252878
CPNE2	16	57126449	57181878
CPNE3	8	87497059	87573726
CPNE5	6	36708552	36807778
CPNE7	16	89642176	89663654
CPNE8	12	39040624	39301232
CPNE9	3	9745491	9771592
CPOX	3	98239976	98312567
CPPED1	16	12756919	12897874
CPQ	8	97657455	98161882
CPSF1	8	145618444	145634753
CPSF2	14	92588281	92630755
CPSF3	2	9563697	9613230
CPSF3L	1	1246965	1260071
CPSF4	7	99036545	99054994
CPSF6	12	69633317	69668138
CPSF7	11	61170121	61197503
CPT1A	11	68522088	68611878
CPT1B	22	51007290	51017899
CPT2	1	53662101	53679869
CPTP	1	1260136	1264277
CPVL	7	29034847	29235067
CPXM1	20	2774715	2781283
CR1	1	207669492	207813992
CR1L	1	207818458	207911761
CR2	1	207627575	207663240
CRABP2	1	156669398	156675608
CRACR2A	12	3715799	3873985
CRACR2B	11	826144	831991
CRADD	12	94071151	94288616
CRAMP1	16	1662326	1727909
CRAT	9	131857089	131873468
CRB2	9	126118449	126142603
CRBN	3	3190676	3221394
CRCP	7	65579591	65619555
CREB1	2	208394461	208468155
CREB3	9	35732332	35737001
CREB3L2	7	137559725	137686813
CREB3L4	1	153940010	153946839
CREB5	7	28338940	28865511
CREBBP	16	3775055	3930727
CREBL2	12	12764761	12798042
CREBRF	5	172483355	172566291
CREBZF	11	85370752	85393951
CREG1	1	167498914	167523004
CREG2	2	101962013	102004057
CRELD1	3	9975506	9987097
CRELD2	22	50311815	50321188
CREM	10	35415719	35501886
CRHBP	5	76248538	76276983
CRHR2	7	30692200	30739745
CRIM1	2	36583069	36778278
CRIP1	14	105952654	105955284
CRIP2	14	105939299	105946499
CRIPT	2	46843555	46852881
CRISPLD2	16	84853590	84954374
CRK	17	1323983	1366456
CRKL	22	21271714	21308037
CRLF1	19	18683030	18718551
CRLF3	17	29096406	29151794
CRLS1	20	5986736	6020699
CRMP1	4	5749811	5894785
CRNKL1	20	20015012	20036690
CROCC	1	17066768	17299474
CROT	7	86974997	87029111
CRTAM	11	122709208	122743347
CRTAP	3	33155471	33189265
CRTC1	19	18794487	18893004
CRTC2	1	153920145	153931101
CRTC3	15	91073157	91188577
CRY1	12	107385142	107487607
CRY2	11	45868669	45904798
CRYBB1	22	26995242	27014052
CRYBB2	22	25615489	25627836
CRYBG3	3	97595819	97663810
CRYGS	3	186256230	186264491
CRYL1	13	20977806	21099996
CRYZ	1	75171170	75199092
CRYZL1	21	34961647	35016232
CS	12	56665483	56694176
CSAD	12	53551447	53575135
CSDE1	1	115259534	115301297
CSE1L	20	47662849	47713489
CSF1	1	110452864	110473614
CSF1R	5	149432854	149492935
CSF2	5	131409483	131411859
CSF2RB	22	37309670	37336491
CSF3	17	38171614	38174066
CSF3R	1	36931644	36948879
CSGALNACT1	8	19261672	19615540
CSGALNACT2	10	43633934	43680756
CSK	15	75074398	75095539
CSMD1	8	2792875	4852494
CSNK1A1	5	148871760	148931007
CSNK1D	17	80196899	80231607
CSNK1E	22	38686697	38794527
CSNK1G1	15	64457716	64648442
CSNK1G2	19	1941188	1981337
CSNK1G3	5	122847793	122952739
CSNK2A1	20	459116	524465
CSNK2A2	16	58191811	58231824
CSNK2A3	11	11373489	11374904
CSNK2B	6	31633013	31638120
CSPG4	15	75966663	76005189
CSPP1	8	67974661	68108498
CSRNP1	3	39183346	39196053
CSRNP2	12	51454990	51477447
CSRP1	1	201452658	201478584
CSRP2	12	77252495	77272840
CSRP2BP	20	18118762	18169031
CST3	20	23608534	23619110
CST6	11	65779312	65780976
CST7	20	24929866	24940564
CSTA	3	122044091	122060819
CSTB	21	45192393	45196326
CSTF1	20	54967427	54979518
CSTF2T	10	53455247	53459355
CSTF3	11	33098734	33183917
CTAGE15	7	143268894	143271480
CTAGE4	7	143880559	143883146
CTAGE6	7	143452182	143454789
CTAGE8	7	143963794	143966381
CTAGE9	6	132029581	132032206
CTBP1	4	1205236	1243741
CTBP2	10	126676421	126849739
CTBS	1	85015289	85040163
CTC-534A2.2	5	64920592	64926718
CTC1	17	8130191	8151362
CTCF	16	67596310	67673086
CTDNEP1	17	7146910	7155810
CTDP1	18	77439801	77514510
CTDSP1	2	219262979	219270664
CTDSP2	12	58213710	58240522
CTDSPL	3	37903451	38025960
CTDSPL2	15	44719432	44821236
CTF1	16	30907928	30914881
CTH	1	70876901	70905534
CTHRC1	8	104383743	104395225
CTIF	18	46065417	46389588
CTLA4	2	204732509	204738683
CTNNA1	5	137946656	138270723
CTNNAL1	9	111704851	111775809
CTNNB1	3	41236328	41301587
CTNNBIP1	1	9908334	9970394
CTNNBL1	20	36322408	36500531
CTNND1	11	57520715	57587018
CTNND2	5	10971952	11904155
CTNS	17	3539762	3564836
CTPS1	1	41445007	41478235
CTR9	11	10772534	10801290
CTRL	16	67961543	67966317
CTSA	20	44518783	44527459
CTSB	8	11700033	11726957
CTSC	11	88026760	88070955
CTSD	11	1773982	1785222
CTSF	11	66330934	66336312
CTSH	15	79213400	79241916
CTSK	1	150768684	150780799
CTSL	9	90340434	90346308
CTSO	4	156845270	156875069
CTSS	1	150702672	150738433
CTSV	9	99794940	99801925
CTSW	11	65647280	65651212
CTSZ	20	57570240	57582302
CTTN	11	70244510	70282690
CTTNBP2	7	117350705	117514193
CTTNBP2NL	1	112938803	113006078
CTU1	19	51600863	51611627
CTU2	16	88772871	88781794
CUBN	10	16865963	17171830
CUEDC1	17	55938604	56032684
CUEDC2	10	104183002	104192418
CUL1	7	148395006	148498128
CUL2	10	35297479	35379570
CUL3	2	225334867	225450110
CUL4A	13	113862552	113919399
CUL5	11	107879459	107978503
CUL7	6	43005355	43021683
CUL9	6	43149913	43192325
CUTA	6	33384219	33386094
CUTC	10	101462315	101515891
CUX1	7	101458959	101927249
CUX2	12	111471828	111788358
CUZD1	10	124591665	124639146
CWC15	11	94695787	94706776
CWC22	2	180809603	180871840
CWC27	5	64064757	64314590
CWF19L1	10	101992055	102027437
CWF19L2	11	107197071	107328572
CX3CR1	3	39304985	39323226
CXCL1	4	74735110	74736959
CXCL10	4	76942273	76944650
CXCL11	4	76954835	76962568
CXCL12	10	44793038	44881941
CXCL13	4	78432907	78532988
CXCL16	17	4636821	4643217
CXCL2	4	74962752	74965010
CXCL3	4	74902306	74904524
CXCL5	4	74861359	74864496
CXCL6	4	74702214	74714781
CXCL8	4	74606223	74609433
CXCL9	4	76922428	76928641
CXCR2	2	218990012	219001976
CXCR4	2	136871919	136875735
CXCR5	11	118754475	118768508
CXCR6	3	45982425	45989845
CXXC1	18	47808713	47814674
CXXC4	4	105389469	105416058
CXXC5	5	139026884	139063467
CYB561	17	61509665	61523739
CYB561A3	11	61116217	61129771
CYB561D1	1	110036674	110045554
CYB561D2	3	50388126	50395891
CYB5A	18	71920530	71959251
CYB5B	16	69458428	69500169
CYB5D1	17	7761064	7765600
CYB5D2	17	4046462	4090605
CYB5R1	1	202930997	202936408
CYB5R2	11	7686331	7698453
CYB5R3	22	43013846	43045574
CYB5R4	6	84569362	84677143
CYB5RL	1	54638009	54665709
CYBA	16	88709691	88717560
CYBRD1	2	172378757	172414643
CYC1	8	145149930	145152428
CYCS	7	25159710	25164980
CYFIP2	5	156693089	156822606
CYGB	17	74523438	74547257
CYHR1	8	145674965	145691060
CYLD	16	50775961	50835846
CYP19A1	15	51500254	51630807
CYP1A1	15	75011883	75017951
CYP1B1	2	38294116	38337044
CYP20A1	2	204103663	204163009
CYP27A1	2	219646472	219680016
CYP27B1	12	58156117	58162769
CYP2D6	22	42522501	42526908
CYP2D7	22	42536214	42540576
CYP2E1	10	135333910	135374724
CYP2J2	1	60358980	60392462
CYP2R1	11	14899553	14913798
CYP2S1	19	41698954	41713444
CYP2U1	4	108852525	108874613
CYP3A5	7	99245817	99277621
CYP4F11	19	16023177	16045677
CYP4F22	19	15619304	15663128
CYP4F3	19	15751707	15773635
CYP4V2	4	187112674	187134610
CYP51A1	7	91741465	91772266
CYP7B1	8	65500320	65711318
CYSLTR2	13	49280951	49283498
CYSTM1	5	139554227	139661637
CYTH1	17	76670130	76778379
CYTH2	19	48972289	48985571
CYTH3	7	6201407	6312275
CYTH4	22	37678068	37711382
CYTIP	2	158271131	158345473
CYTL1	4	5016313	5021199
D2HGDH	2	242673994	242708231
DAAM1	14	59655364	59838123
DAB2	5	39371780	39462402
DAB2IP	9	124329336	124547809
DACT1	14	59100685	59115039
DACT3	19	47150869	47164395
DAD1	14	23033805	23058175
DAG1	3	49506146	49573048
DAGLA	11	61447905	61514473
DAGLB	7	6448757	6523821
DALRD3	3	49052921	49059726
DAP	5	10679342	10761384
DAP3	1	155657751	155708801
DAPK1	9	90112143	90323548
DAPK2	15	64199235	64364232
DAPK3	19	3958451	3971121
DAPP1	4	100737990	100791311
DARS	2	136664247	136743670
DARS2	1	173793641	173827684
DAXX	6	33286335	33297046
DAZAP1	19	1407568	1435719
DAZAP2	12	51632076	51665146
DBF4	7	87505531	87538856
DBF4B	17	42785976	42829632
DBI	2	120124497	120130126
DBN1	5	176883609	176901402
DBNDD1	16	90071273	90086536
DBNDD2	20	44034697	44039250
DBNL	7	44084239	44109055
DBP	19	49133287	49140695
DBR1	3	137879854	137893791
DBT	1	100652475	100715390
DCAF10	9	37800499	37867663
DCAF11	14	24583404	24594451
DCAF12	9	34086385	34127397
DCAF13	8	104426942	104455681
DCAF15	19	14063304	14072254
DCAF16	4	17802278	17812381
DCAF17	2	172290727	172341562
DCAF4	14	73393040	73426411
DCAF4L1	4	41983713	41988476
DCAF5	14	69517598	69619867
DCAF6	1	167905021	168045081
DCAF7	17	61627822	61671639
DCAF8	1	160185505	160254920
DCAKD	17	43100708	43138473
DCANP1	5	134779905	134783038
DCBLD1	6	117774980	117891021
DCBLD2	3	98514785	98620533
DCDC2	6	24171984	24358280
DCDC2B	1	32674695	32681797
DCHS1	11	6642556	6677085
DCK	4	71858255	71896631
DCLK2	4	150999426	151178609
DCLK3	3	36753913	36781352
DCLRE1A	10	115594488	115614142
DCLRE1B	1	114447763	114456708
DCLRE1C	10	14939358	14996431
DCP1A	HG957_PATCH	53317443	53381643
DCP1B	12	2055220	2113701
DCP2	5	112312399	112356667
DCPS	11	126173647	126215644
DCSTAMP	8	105351315	105368917
DCT	13	95089558	95131936
DCTD	4	183811213	183839089
DCTN1	2	74588281	74619214
DCTN2	12	57923885	57941114
DCTN3	9	34613548	34620515
DCTN4	5	150088002	150138671
DCTN5	16	23652713	23681195
DCTN6	8	30013813	30041156
DCTPP1	16	30434940	30441396
DCUN1D1	3	182655862	182703741
DCUN1D2	13	114110134	114145267
DCUN1D3	16	20866247	20911706
DCUN1D4	4	52709166	52783003
DCUN1D5	11	102932805	102962944
DCXR	17	79993012	79995608
DDA1	19	17420327	17434110
DDAH1	1	85784164	86043933
DDAH2	6	31694815	31698394
DDB1	11	61066923	61110068
DDB2	11	47236493	47260767
DDHD1	14	53510686	53620000
DDHD2	8	38082736	38133076
DDI2	1	15943995	15995539
DDIAS	11	82611017	82669319
DDIT3	12	57910371	57914300
DDIT4	10	74033678	74035794
DDIT4L	4	101107027	101111939
DDO	6	110712974	110736765
DDOST	1	20978270	20988000
DDR1	6	30844198	30867933
DDR2	1	162601163	162757190
DDRGK1	20	3170996	3185331
DDT	22	24313554	24322660
DDTL	22	24309089	24314721
DDX1	2	15731302	15771235
DDX10	11	108535752	108811657
DDX11	12	31226779	31257725
DDX17	22	38879445	38903665
DDX18	2	118572226	118589955
DDX19A	16	70380732	70407286
DDX19B	16	70323566	70369186
DDX20	1	112297867	112310638
DDX21	10	70715884	70744829
DDX23	12	49223547	49246625
DDX24	14	94517266	94547591
DDX27	20	47835884	47860614
DDX28	16	68055179	68057770
DDX31	9	135468384	135545788
DDX39A	19	14519631	14530192
DDX39B	6	31497996	31510225
DDX41	5	176938578	176944470
DDX42	17	61850963	61896677
DDX43	6	74104471	74127292
DDX46	5	134094469	134190823
DDX47	12	12966250	12982915
DDX49	19	19030484	19039436
DDX5	17	62495734	62504317
DDX50	10	70661034	70706603
DDX51	12	132621139	132628880
DDX54	12	113594979	113623284
DDX55	12	124086624	124105488
DDX56	7	44605016	44614650
DDX58	9	32455300	32526322
DDX59	1	200593024	200639097
DDX6	11	118620034	118661858
DDX60	4	169137444	169239958
DDX60L	4	169277886	169458937
DEAF1	11	644233	706715
DECR1	8	91013633	91064320
DECR2	16	451826	462487
DEDD	1	161090764	161102478
DEDD2	19	42702750	42724292
DEF6	6	35265595	35289548
DEF8	16	90014333	90034468
DEGS1	1	224363458	224381143
DEGS2	14	100612756	100626500
DEK	6	18224099	18265054
DENND1A	9	126141933	126692431
DENND1B	1	197473878	197744826
DENND1C	19	6467218	6482568
DENND2C	1	115125469	115213043
DENND2D	1	111729796	111747157
DENND3	8	142127377	142205907
DENND4A	15	65950384	66084631
DENND4B	1	153901977	153919172
DENND4C	9	19230433	19374139
DENND5A	11	9160372	9286937
DENND5B	12	31535157	31744031
DENND6A	3	57611184	57678816
DENND6B	22	50747459	50765489
DENR	12	123237321	123255611
DEPDC1B	5	59892739	59996017
DEPDC4	12	100597447	100660857
DEPDC5	22	32149944	32303012
DEPDC7	11	33037410	33055128
DEPTOR	8	120885957	121063152
DERA	12	16064106	16190220
DERL1	8	124025404	124054663
DERL2	17	5374571	5390131
DERL3	22	24176690	24181315
DESI1	22	41994032	42017100
DESI2	1	244816237	244872335
DET1	15	89054790	89089906
DEXI	16	11022748	11036317
DFFA	1	10516579	10532583
DFFB	1	3773845	3801993
DFNA5	7	24737972	24809244
DFNB31	9	117164360	117267730
DGAT1	8	145539954	145550573
DGAT2	11	75470557	75512579
DGCR14	22	19117792	19132197
DGCR2	22	19023795	19109967
DGCR6	22	18893541	18901751
DGCR6L	22	20301799	20307603
DGCR8	22	20067755	20099400
DGKA	12	56321103	56347811
DGKD	2	234263153	234380750
DGKE	17	54911460	54946036
DGKG	3	185823457	186080026
DGKH	13	42614176	42830714
DGKI	7	137065783	137531838
DGKQ	4	952675	980683
DGKZ	11	46354455	46402104
DGUOK	2	74153953	74186088
DHCR24	1	55315306	55352891
DHCR7	11	71139239	71163914
DHDDS	1	26758773	26797785
DHDH	19	49436939	49448226
DHFR	5	79922047	79950802
DHFRL1	3	93766680	93782233
DHODH	16	72042487	72058954
DHPS	19	12786531	12792716
DHRS1	14	24759804	24769039
DHRS12	13	52342129	52378293
DHRS13	17	27224799	27230089
DHRS2	14	24099324	24114848
DHRS3	1	12627939	12677737
DHRS4	14	24422795	24438488
DHRS4L2	14	24439148	24475617
DHRS7	14	60610838	60636574
DHRS7B	17	21026677	21096578
DHRS9	2	169921299	169952677
DHTKD1	10	12110971	12165224
DHX15	4	24519064	24586173
DHX16	6	30620896	30640814
DHX29	5	54552073	54603550
DHX30	3	47844399	47891685
DHX32	10	127524906	127585005
DHX33	17	5344232	5372380
DHX34	19	47852538	47885961
DHX35	20	37590942	37668366
DHX36	3	153990335	154042286
DHX37	12	125431371	125473668
DHX38	16	72127461	72146811
DHX40	17	57642886	57685706
DHX57	2	39024871	39103075
DHX58	17	40253422	40264751
DHX8	17	41561233	41621831
DHX9	1	182808504	182856886
DIABLO	12	122692210	122712081
DIAPH1	5	140894583	140998622
DIAPH3	13	60239717	60738121
DICER1	14	95552565	95624347
DIDO1	20	61509090	61569304
DIEXF	1	210001352	210030910
DIMT1	5	61683081	61699766
DIO1	1	54356912	54376759
DIP2A	21	47878812	47989926
DIP2B	12	50898768	51142450
DIP2C	10	320130	735683
DIRAS1	19	2714565	2721416
DIRC2	3	122513642	122599986
DIS3	13	73329540	73356234
DIS3L	15	66585555	66626236
DIS3L2	2	232825955	233209060
DISC1	1	231762561	232177018
DISP1	1	222988406	223179337
DISP2	15	40650436	40663257
DIXDC1	11	111797868	111893308
DKK2	4	107842959	108204963
DKK3	11	11984653	12031316
DLAT	11	111895538	111935114
DLC1	8	12940870	13373167
DLD	7	107531415	107572175
DLEC1	3	38080696	38165516
DLEU7	13	51285144	51418075
DLG1	3	196769431	197026171
DLG2	11	83166055	85338966
DLG4	17	7093209	7123021
DLG5	10	79550549	79686378
DLGAP1	18	3496030	4455335
DLGAP2	8	1449532	1656642
DLGAP3	1	35331037	35395186
DLGAP4	20	34894258	35157040
DLGAP5	14	55614830	55658396
DLK2	6	43418090	43424370
DLL1	6	170591294	170599561
DLL4	15	41221538	41231237
DLST	14	75348594	75370448
DLX2	2	172964167	172967628
DMAP1	1	44679127	44686353
DMPK	19	46272975	46285810
DMTF1	7	86781677	86825653
DMTN	8	21906506	21940038
DMWD	19	46286205	46296060
DMXL1	5	118373467	118584833
DMXL2	15	51739908	51915030
DNA2	10	70173821	70231879
DNAAF1	16	84178865	84212373
DNAAF2	14	50091892	50101948
DNAAF5	7	766338	829190
DNAH1	3	52350335	52434507
DNAH10	12	124247042	124420753
DNAH10OS	12	124410971	124419531
DNAH11	7	21582833	21941457
DNAH12	3	57327727	57530071
DNAH14	1	225083964	225586996
DNAH17	17	76419778	76573476
DNAH6	2	84743579	85046713
DNAH7	2	196602427	196933536
DNAH8	6	38683117	38998301
DNAJA1	9	33025209	33039905
DNAJA2	16	46989299	47007699
DNAJA3	16	4475806	4506776
DNAJA4	15	78556428	78574538
DNAJB1	19	14625582	14640582
DNAJB11	3	186285192	186315061
DNAJB12	10	74092588	74114988
DNAJB14	4	100817405	100867883
DNAJB2	2	220143989	220151622
DNAJB4	1	78444859	78483648
DNAJB5	9	34989638	34998897
DNAJB6	7	157128075	157210133
DNAJB7	22	41255553	41258130
DNAJB9	7	108210012	108215294
DNAJC1	10	22045466	22292698
DNAJC10	2	183580999	183659191
DNAJC11	1	6694228	6761984
DNAJC13	3	132136370	132257876
DNAJC14	12	56214744	56224608
DNAJC15	13	43597339	43683045
DNAJC16	1	15853308	15918874
DNAJC17	15	41060067	41099675
DNAJC18	5	138744279	138780180
DNAJC19	3	180701497	180707562
DNAJC2	7	102952921	102985320
DNAJC21	5	34929698	34959069
DNAJC24	11	31391387	31453396
DNAJC25	9	114393632	114432508
DNAJC27	2	25166505	25194963
DNAJC28	21	34860497	34864027
DNAJC3	13	96329393	96447243
DNAJC30	7	73095299	73097783
DNAJC4	11	63997750	64001758
DNAJC5	20	62526518	62567384
DNAJC5B	8	66933795	67012751
DNAJC6	1	65713902	65881552
DNAJC7	17	40128451	40173394
DNAJC8	1	28525967	28559536
DNAJC9	10	74943120	75008620
DNAL1	14	74111578	74170435
DNAL4	22	39174513	39190203
DNALI1	1	38022520	38032458
DNASE1	16	3661729	3730144
DNASE1L2	16	2285817	2288712
DNASE1L3	3	58177984	58200424
DNASE2	19	12986025	12992282
DNER	2	230222345	230579274
DNHD1	11	6518490	6614988
DNLZ	9	139253932	139258241
DNM1	9	130965658	131017527
DNM1L	12	32832134	32898486
DNM2	19	10828755	10944164
DNM3	1	171810621	172387606
DNMBP	10	101635334	101769676
DNMT1	19	10244021	10341962
DNMT3A	2	25455845	25565459
DNMT3B	20	31350191	31397162
DNPEP	2	220238268	220264744
DNPH1	6	43193367	43197222
DNTTIP1	20	44420576	44440066
DNTTIP2	1	94333373	94345474
DOC2A	16	30016830	30034591
DOCK1	10	128593978	129250781
DOCK10	2	225629807	225907162
DOCK2	5	169064251	169510386
DOCK3	3	50712672	51421629
DOCK4	7	111366166	111846466
DOCK5	8	25042238	25275598
DOCK6	19	11309971	11373157
DOCK7	1	62920399	63153969
DOCK8	9	214854	465259
DOCK9	13	99445741	99738879
DOHH	19	3490819	3500938
DOK1	2	74776153	74784681
DOK2	8	21766384	21771371
DOK3	5	176928908	176938275
DOK4	16	57505863	57521239
DOK6	18	67068291	67516323
DOK7	4	3465033	3503200
DOLK	9	131707809	131709898
DOLPP1	9	131843379	131852717
DONSON	21	34931848	34961014
DOPEY1	6	83777385	83881069
DOPEY2	21	37529080	37666572
DOT1L	19	2164148	2232577
DPAGT1	11	118967213	118979041
DPCD	10	103330317	103369425
DPEP2	16	68021297	68034489
